2024-09-2309:33:53,1,1,5,hello
2024-09-2309:34:04,1,1,5,world
2024-09-2309:34:22,2,1,9,hy from 2
2024-09-2309:34:44,1,1,16,got your messege
2024-09-2309:35:22,1,2,16,got your messege
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:45,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:48,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:49,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:51,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:51,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:51,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:51,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:51,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1012:44:52,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
