every picture tested in every nodel 1 times
Image,Model,Time(sec),found,real number,succes presentage
Image20240728200512.jpg,cascade,0.139772,15, 30,0.5
Image20240728200536.jpg,cascade,0.018288,6, 2,3
Image20240728200539.jpg,cascade,0.017474,1, 5,0.2
Image20240728200542.jpg,cascade,0.030032,3, 13,0.230769
Image20240728200546.jpg,cascade,0.086777,48, 80,0.6
Image20240728200549.jpg,cascade,0.050728,8, 7,1.14286
Image20240728200554.jpg,cascade,0.063543,13, 14,0.928571
image_0006.jpg,cascade,0.009347,0, 1,0
image_0090.jpg,cascade,0.008487,0, 2,0
image_0186.jpg,cascade,0.009094,1, 3,0.333333
image_0254.jpg,cascade,0.008686,1, 4,0.25
image_0318.jpg,cascade,0.009,0, 1,0
image_0390.jpg,cascade,0.008631,1, 4,0.25
image_0445.jpg,cascade,0.008765,0, 1,0
image_0462.jpg,cascade,0.009811,2, 3,0.666667
image_0518.jpg,cascade,0.009538,0, 3,0
image_0521.jpg,cascade,0.008361,1, 3,0.333333
Image20240728200512.jpg,yolov4-Tiny,0.059023,15, 30,0.5
Image20240728200536.jpg,yolov4-Tiny,0.033205,2, 2,1
Image20240728200539.jpg,yolov4-Tiny,0.033943,1, 5,0.2
Image20240728200542.jpg,yolov4-Tiny,0.034375,11, 13,0.846154
Image20240728200546.jpg,yolov4-Tiny,0.033528,16, 80,0.2
Image20240728200549.jpg,yolov4-Tiny,0.033227,1, 7,0.142857
Image20240728200554.jpg,yolov4-Tiny,0.040559,4, 14,0.285714
image_0006.jpg,yolov4-Tiny,0.037213,1, 1,1
image_0090.jpg,yolov4-Tiny,0.036003,3, 2,1.5
image_0186.jpg,yolov4-Tiny,0.035636,4, 3,1.33333
image_0254.jpg,yolov4-Tiny,0.042559,2, 4,0.5
image_0318.jpg,yolov4-Tiny,0.035859,3, 1,3
image_0390.jpg,yolov4-Tiny,0.037233,2, 4,0.5
image_0445.jpg,yolov4-Tiny,0.034945,1, 1,1
image_0462.jpg,yolov4-Tiny,0.035323,3, 3,1
image_0518.jpg,yolov4-Tiny,0.036796,5, 3,1.66667
image_0521.jpg,yolov4-Tiny,0.038103,6, 3,2
Image20240728200512.jpg,yolov3,0.549975,0, 30,0
Image20240728200536.jpg,yolov3,0.613361,0, 2,0
Image20240728200539.jpg,yolov3,0.617722,0, 5,0
Image20240728200542.jpg,yolov3,0.608275,0, 13,0
Image20240728200546.jpg,yolov3,0.693566,0, 80,0
Image20240728200549.jpg,yolov3,0.583399,0, 7,0
Image20240728200554.jpg,yolov3,0.558323,0, 14,0
image_0006.jpg,yolov3,0.590499,0, 1,0
image_0090.jpg,yolov3,0.565762,0, 2,0
image_0186.jpg,yolov3,0.579701,0, 3,0
image_0254.jpg,yolov3,0.564598,0, 4,0
image_0318.jpg,yolov3,0.594954,0, 1,0
image_0390.jpg,yolov3,0.620618,0, 4,0
image_0445.jpg,yolov3,0.622241,0, 1,0
image_0462.jpg,yolov3,0.622704,0, 3,0
image_0518.jpg,yolov3,0.63096,0, 3,0
image_0521.jpg,yolov3,0.680492,0, 3,0
Image20240728200512.jpg,MobileNet,0.085313,8, 30,0.266667
Image20240728200536.jpg,MobileNet,0.0585,2, 2,1
Image20240728200539.jpg,MobileNet,0.068302,2, 5,0.4
Image20240728200542.jpg,MobileNet,0.055156,7, 13,0.538462
Image20240728200546.jpg,MobileNet,0.056267,0, 80,0
Image20240728200549.jpg,MobileNet,0.056183,6, 7,0.857143
Image20240728200554.jpg,MobileNet,0.064932,1, 14,0.0714286
image_0006.jpg,MobileNet,0.055375,1, 1,1
image_0090.jpg,MobileNet,0.05523,2, 2,1
image_0186.jpg,MobileNet,0.06264,2, 3,0.666667
image_0254.jpg,MobileNet,0.051056,1, 4,0.25
image_0318.jpg,MobileNet,0.050809,1, 1,1
image_0390.jpg,MobileNet,0.063046,3, 4,0.75
image_0445.jpg,MobileNet,0.062992,1, 1,1
image_0462.jpg,MobileNet,0.063198,3, 3,1
image_0518.jpg,MobileNet,0.079501,3, 3,1
image_0521.jpg,MobileNet,0.062331,3, 3,1
Image20240728200512.jpg,HOG,0.038412,1, 30,0.0333333
Image20240728200536.jpg,HOG,0.052648,1, 2,0.5
Image20240728200539.jpg,HOG,0.049425,0, 5,0
Image20240728200542.jpg,HOG,0.129722,1, 13,0.0769231
Image20240728200546.jpg,HOG,0.424337,1, 80,0.0125
Image20240728200549.jpg,HOG,0.250012,7, 7,1
Image20240728200554.jpg,HOG,0.578971,1, 14,0.0714286
image_0006.jpg,HOG,0.00957,0, 1,0
image_0090.jpg,HOG,0.011484,0, 2,0
image_0186.jpg,HOG,0.011675,0, 3,0
image_0254.jpg,HOG,0.010301,0, 4,0
image_0318.jpg,HOG,0.01397,0, 1,0
image_0390.jpg,HOG,0.011998,0, 4,0
image_0445.jpg,HOG,0.013178,0, 1,0
image_0462.jpg,HOG,0.011814,0, 3,0
image_0518.jpg,HOG,0.014227,0, 3,0
image_0521.jpg,HOG,0.018829,0, 3,0
